0ad a23.1-10
licenses 20200427-1
lightdm 1:1.30.0-3
lightdm-pantheon-greeter 5.0.4-1
lilv 0.24.8-2
linux 5.7.7.arch1-1
linux-api-headers 5.6.11-1
linux-firmware 20200519.8ba6fa6-1
linux-lts 5.4.50-1
lirc 1:0.10.1-6
llvm-libs 10.0.0-2
lm_sensors 3.6.0-2
lmdb 0.9.25-1
log4cplus 2.0.5-1
lpsolve 5.5.2.5-4
lsb-release 1.4-16
lsd 0.16.0-2
lshw B.02.19.2-1
lsof 4.93.2-3
lua 5.3.5-3
lua52 5.2.4-5
lua52-bitop 1.0.2-9
lua52-expat 1.3.0-4
lua52-lpeg 1.0.2-2
lua52-luajson 1.3.4-3
lua52-socket 20190219-1
luajit 2.0.5-3
lv2 1.18.0-1
lvm2 2.02.187-3
ly-git v0.5.0.r1.geb496b0-1
lz4 1:1.9.2-2
lzo 2.10-3
m17n-db 1.8.0-3
m17n-lib 1.8.0-7
m4 1.4.18-3
mailcap 2.1.49-1
make 4.3-3
malcontent 0.8.0-1
man-db 2.9.3-1
mariadb-clients 10.4.13-1
mariadb-libs 10.4.13-1
mbedtls 2.16.5-1
md4c 0.4.4-1
mdadm 4.1-2
media-player-info 24-2
mesa 20.1.3-1
mesa-demos 8.4.0-4
meson 0.54.3-1
metis 5.1.0.p8-1
miniupnpc 2.1.20190408-2
minizip 1:1.2.11-4
mjpegtools 2.1.0-5
mkinitcpio 27-3
mkinitcpio-busybox 1.31.1-1
mlocate 0.26.git.20170220-3
mobile-broadband-provider-info 20190618-2
mod_dnssd 0.6-8
modemmanager 1.14.0-1
mousetweaks 3.32.0-2
mp3tag 3.01-1
mpc 0.33-2
mpd 0.21.25-1
mpfr 4.0.2-2
mpg123 1.26.1-1
mpv 1:0.32.0-4
mtdev 1.1.6-1
mtools 4.0.24-1
mtpfs 1.1-4
muffin 4.6.1-1
mujs 1.0.7-1
mutter 3.36.4-1
nautilus 3.36.3-1
nautilus-sendto 3.8.6+14+ge8a3604-2
ncmpc 0.38-1
ncmpcpp 0.8.2-12
ncpamixer 1.3.3-1
ncurses 6.2-1
ndctl 68-2
nemo 4.6.4-1
neon 0.31.2-1
nerd-fonts-hack 2.1.0-2
nerd-fonts-inconsolata 2.1.0-2
nerd-fonts-source-code-pro 2.1.0-1
net-snmp 5.8-6
net-tools 1.60.20181103git-2
netcf 0.2.8-8
netctl 1.23-1
netpbm 10.73.32-1
nettle 3.6-1
network-manager-applet 1.18.0-1
networkmanager 1.24.2-1
networkmanager-qt 5.71.0-1
ninja 1.10.0-1
nm-connection-editor 1.18.0-1
nmap 7.80-2
nncmpp-git v0.9.r1.g6c1546e-1
nodejs 14.5.0-1
noto-fonts 20190926-4
noto-fonts-cjk 20190409-2
noto-fonts-emoji 20191016-6
noto-fonts-extra 20190926-4
npth 1.6-2
nspr 4.26-1
nss 3.54-1
ntfs-3g 2017.3.23-4
numactl 2.0.13-3
oath-toolkit 2.6.2-8
oniguruma 6.9.5_rev1-1
openal 1.20.1-2
opencollada 1:1.6.68-2
opencolorio 1.1.1-4
opencore-amr 0.1.5-4
opendesktop-fonts 1.4.2-6
openexr 2.5.2-1
openimagedenoise 1.2.2-1
openimageio 2.1.16.0-1
openjdk-doc 14.0.1.u7-1
openjdk11-doc 11.0.7.u10-1
openjdk8-doc 8.u252-1
openjpeg 1.5.2-2
openjpeg2 2.3.1-2
openmpi 4.0.4-1
openresolv 3.10.0-1
openshadinglanguage 1.10.11-1
openssh 8.3p1-1
openssl 1.1.1.g-2
openssl-1.0 1.0.2.u-1
opensubdiv 3.4.3-1
openvdb 7.0.0-5
openvswitch 2.13.0-1
opus 1.3.1-2
opusfile 0.11-2
orc 0.4.31-2
orca 3.36.3-1
osinfo-db 20200529-1
ostree 2020.3-2
otf-cormorant 3.601-2
otf-fantasque-sans-mono 1.8.0-2
otf-fira-code 2-1
otf-fira-mono 2:3.206-4
otf-fira-sans 1:4.301-2
otf-font-awesome 5.13.1-2
otf-ipaexfont 004.01-2
otf-ipafont 003.03-8
otf-ipamjfont 006.01-2
otf-latin-modern 2.004-4
otf-latinmodern-math 1.959-4
otf-overpass 3.0.4-2
p11-kit 0.23.20-5
packer 20160325-1
pacman 5.2.1-6
pacman-mirrorlist 20200606-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7+11+g73b46b04-1
pangomm 2.42.1-2
pantheon-applications-menu-git 2.7.1.r11.d9a24a13-1
pantheon-calculator 1.5.5-1
pantheon-calendar 5.0.6-1
pantheon-camera 1.0.6-1
pantheon-code 3.4.1-1
pantheon-dpms-helper-git r8.e2547fd-1
pantheon-files 4.4.3-1
pantheon-geoclue2-agent 1.0.4-1
pantheon-music 5.0.5-2
pantheon-photos 2.7.0-1
pantheon-polkit-agent 1.0.3-1
pantheon-screenshot 1.7.1-1
pantheon-shortcut-overlay 1.1.2-1
pantheon-terminal 5.5.2-1
pantheon-videos 2.7.2-1
parted 3.3-2
patch 2.7.6-8
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.35-1
pcsclite 1.9.0-1
perl 5.32.0-1
perl-alien-build 2.26-3
perl-alien-libxml2 0.16-2
perl-autovivification 0.18-6
perl-b-hooks-endofscope 0.24-3
perl-business-isbn 3.004-7
perl-business-isbn-data 20140910.003-7
perl-business-ismn 1.201-4
perl-business-issn 1.003-4
perl-capture-tiny 0.48-4
perl-class-accessor 0.51-2
perl-class-data-inheritable 0.08-9
perl-class-factory-util 1.7-10
perl-class-inspector 1.36-3
perl-class-load 0.25-2
perl-class-singleton 1.5-4
perl-clone 0.45-2
perl-data-compare 1.25-8
perl-data-dump 1.23-6
perl-data-optlist 0.110-6
perl-data-uniqid 0.12-8
perl-datetime 1.52-1
perl-datetime-calendar-julian 0.04-6
perl-datetime-format-builder 0.8100-7
perl-datetime-format-strptime 1.75-4
perl-datetime-locale 1.22-2
perl-datetime-timezone 2.35-2
perl-devel-stacktrace 2.03-4
perl-dist-checkconflicts 0.11-6
perl-encode-locale 1.05-7
perl-error 0.17029-2
perl-eval-closure 0.14-6
perl-exception-class 1.44-4
perl-exporter-tiny 1.002002-2
perl-ffi-checklib 0.27-2
perl-file-chdir 0.1011-4
perl-file-find-rule 0.34-7
perl-file-listing 6.04-8
perl-file-sharedir 1.116-4
perl-file-sharedir-install 0.13-4
perl-file-slurp-tiny 0.004-6
perl-file-slurper 0.012-4
perl-file-which 1.23-4
perl-html-parser 3.72-10
perl-html-tagset 3.20-10
perl-http-cookies 6.08-3
perl-http-daemon 6.06-2
perl-http-date 6.05-3
perl-http-message 6.25-1
perl-http-negotiate 6.01-8
perl-inc-latest 0.500-7
perl-io-html 1.001-7
perl-io-socket-ssl 2.067-2
perl-io-string 1.08-12
perl-ipc-run3 0.048-8
perl-libwww 6.46-1
perl-lingua-translit 0.28-5
perl-list-allutils 0.16-2
perl-list-moreutils 0.428-5
perl-list-moreutils-xs 0.428-6
perl-list-someutils 0.56-4
perl-list-utilsby 0.11-4
perl-log-log4perl 1.49-7
perl-lwp-mediatypes 6.02-8
perl-lwp-protocol-https 6.07-5
perl-mailtools 2.21-4
perl-math-round 0.07-4
perl-mime-charset 1.012.2-7
perl-module-build 0.4231-3
perl-module-implementation 0.09-6
perl-module-runtime 0.016-2
perl-mozilla-ca 20200520-3
perl-mro-compat 0.13-5
perl-namespace-autoclean 0.29-2
perl-namespace-clean 0.27-6
perl-net-http 6.19-4
perl-net-ssleay 1.88-2
perl-number-compare 0.03-10
perl-package-deprecationmanager 0.17-6
perl-package-stash 0.38-3
perl-package-stash-xs 0.29-4
perl-params-util 1.07-12
perl-params-validate 1.29-5
perl-params-validationcompiler 0.30-3
perl-parse-recdescent 1.967015-2
perl-path-tiny 0.112-2
perl-perlio-utf8-strict 0.007-6
perl-regexp-common 2017060201-3
perl-role-tiny 2.001004-2
perl-sort-key 1.33-9
perl-specio 0.43-2
perl-sub-exporter 0.987-6
perl-sub-exporter-progressive 0.001013-6
perl-sub-identify 0.14-8
perl-sub-install 0.928-6
perl-sub-name 0.26-2
perl-test-fatal 0.014-6
perl-text-bibtex 0.85-6
perl-text-csv 1.97-4
perl-text-glob 0.11-7
perl-text-roman 3.5-7
perl-tie-cycle 1.225-5
perl-timedate 2.33-2
perl-tk 804.035-2
perl-try-tiny 0.30-5
perl-unicode-linebreak 2019.001-3
perl-uri 1.76-4
perl-variable-magic 0.62-5
perl-www-robotrules 6.02-8
perl-xml-libxml 2.0205-2
perl-xml-libxml-simple 0.99-4
perl-xml-libxslt 1.99-2
perl-xml-namespacesupport 1.12-4
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-4
perl-xml-writer 0.625-6
phodav 2.4-1
php 7.4.8-2
phpmyadmin 5.0.2-1
picard 2.3.2-1
picom 8-2
pinentry 1.1.0-5
pipewire 0.3.6-1
pixman 0.40.0-1
pkgconf 1.7.3-1
plank 0.11.89-2
polkit 0.116-5
polkit-gnome 0.105-5
polkit-qt5 0.113.0-2
polybar 3.4.3-1
poppler 0.90.0-1
poppler-glib 0.90.0-1
popt 1.18-1
portaudio 1:19.6.0-7
postgresql-libs 12.3-2
potrace 1.16-2
powerline-common 2.8.1-1
powerline-fonts 2.8.1-1
powertop 2.13-1
ppp 2.4.7-7
procps-ng 3.3.16-2
protobuf 3.12.3-1
psmisc 23.3-2
ptex 2.3.2-1
pulseaudio 13.0-3
pulseaudio-alsa 1:1.2.2-2
pulseaudio-bluetooth 13.0-3
pygobject-devel 3.36.1-1
pyside2 5.15.0-2
python 3.8.3-1
python-appdirs 1.4.4-1
python-asn1crypto 1.3.0-1
python-atspi 2.36.0-1
python-attrs 19.3.0-4
python-babel 2.8.0-4
python-bcrypt 3.1.7-3
python-cachecontrol 0.12.6-1
python-cairo 1.19.1-1
python-cffi 1.14.0-3
python-chardet 3.0.4-5
python-colorama 0.4.3-1
python-contextlib2 0.6.0.post1-1
python-cryptography 2.9.2-1
python-cycler 0.10.0-6
python-dateutil 2.8.1-3
python-dbus 1.2.16-1
python-dbus-common 1.2.16-1
python-distlib 0.3.1-1
python-distro 1.5.0-1
python-docker 4.2.2-1
python-docker-pycreds 0.4.0-5
python-docutils 0.16-1
python-future 0.18.2-2
python-gobject 3.36.1-1
python-html5lib 1.1-1
python-idna 2.9-1
python-ifaddr 0.1.7-1
python-imagesize 1.2.0-1
python-importlib-metadata 1.6.1-1
python-jinja 2.11.2-1
python-kiwisolver 1.2.0-1
python-markupsafe 1.1.1-4
python-matplotlib 3.2.2-1
python-more-itertools 8.4.0-1
python-msgpack 1.0.0-1
python-mutagen 1.44.0-1
python-netifaces 0.10.9-3
python-numpy 1.19.0-1
python-ordered-set 3.1.1-2
python-packaging 20.4-1
python-pam 1.8.4-4
python-paramiko 2.7.1-2
python-pep517 0.8.2-1
python-pexpect 4.8.0-1
python-pillow 7.2.0-1
python-pip 20.1.1-1
python-ply 3.11-5
python-progress 1.5-3
python-psutil 5.7.0-1
python-ptyprocess 0.6.0-4
python-pycparser 2.20-1
python-pygments 2.6.1-2
python-pyinotify 0.9.6-7
python-pynacl 1.3.0-4
python-pyparsing 2.4.7-1
python-pypeg2 2.15.2-5
python-pyqt5 5.15.0-3
python-pyqt5-sip 12.8.0-1
python-pyqtwebengine 5.15.0-2
python-pytoml 0.1.21-4
python-pytz 2020.1-1
python-pywal 3.3.0-2
python-pyxdg 0.26-6
python-requests 2.24.0-1
python-resolvelib 0.4.0-1
python-retrying 1.3.3-7
python-setproctitle 1.1.10-5
python-setuptools 1:49.1.1-1
python-shiboken2 5.15.0-1
python-six 1.15.0-1
python-snowballstemmer 2.0.0-3
python-sphinx 3.1.2-1
python-sphinx-alabaster-theme 0.7.12-3
python-sphinxcontrib-applehelp 1.0.2-1
python-sphinxcontrib-devhelp 1.0.2-1
python-sphinxcontrib-htmlhelp 1.0.3-1
python-sphinxcontrib-jsmath 1.0.1-4
python-sphinxcontrib-qthelp 1.0.3-1
python-sphinxcontrib-serializinghtml 1.1.4-1
python-tinycss 0.4-4
python-tinycss2 1.0.2-3
python-toml 0.10.1-1
python-urllib3 1.25.9-1
python-webencodings 0.5.1-4
python-websocket-client 0.57.0-1
python-xapp 2.0.0-1
python-yaml 5.3.1-1
python-zeroconf 0.25.1-1
python-zipp 3.1.0-1
python2 2.7.18-1
qbs 1.16.0-1
qemu 5.0.0-7
qpdf 10.0.1-1
qt5-3d 5.15.0-1
qt5-base 5.15.0-4
qt5-charts 5.15.0-1
qt5-connectivity 5.15.0-1
qt5-datavis3d 5.15.0-1
qt5-declarative 5.15.0-1
qt5-doc 5.15.0-1
qt5-examples 5.15.0-1
qt5-gamepad 5.15.0-1
qt5-graphicaleffects 5.15.0-1
qt5-imageformats 5.15.0-1
qt5-location 5.15.0-1
qt5-lottie 5.15.0-1
qt5-multimedia 5.15.0-1
qt5-networkauth 5.15.0-1
qt5-purchasing 5.15.0-1
qt5-quick3d 5.15.0-1
qt5-quickcontrols 5.15.0-1
qt5-quickcontrols2 5.15.0-1
qt5-remoteobjects 5.15.0-1
qt5-script 5.15.0-1
qt5-scxml 5.15.0-1
qt5-sensors 5.15.0-1
qt5-serialbus 5.15.0-1
qt5-serialport 5.15.0-1
qt5-speech 5.15.0-1
qt5-svg 5.15.0-1
qt5-tools 5.15.0-2
qt5-translations 5.15.0-1
qt5-virtualkeyboard 5.15.0-1
qt5-wayland 5.15.0-1
qt5-webchannel 5.15.0-1
qt5-webengine 5.15.0-5
qt5-webglplugin 5.15.0-1
qt5-webkit 5.212.0alpha4-6
qt5-websockets 5.15.0-1
qt5-webview 5.15.0-1
qt5-x11extras 5.15.0-1
qt5-xmlpatterns 5.15.0-1
qtcreator 4.12.4-1
quazip 0.9.1-1
qutebrowser 1.13.0-2
ranger 1.9.3-2
raptor 2.0.15-13
rasqal 1:0.9.33-3
re2 1:20200706-1
readline 8.0.004-1
redland 1:1.0.17-8
rest 0.8.1-3
rhash 1.3.9-2
rofi 1.5.4-2
rpcbind 1.2.5-3
rsync 3.2.2-2
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-6
rtorrent 0.9.8-2
rubberband 1.8.2-3
ruby 2.7.1-2
ruby-irb 1.2.4-1
ruby-reline 0.1.4-1
rubygems 3.1.3-1
run-parts 4.8.6.1-2
rust 1:1.44.1-1
rxvt-unicode-patched 9.22-11
rxvt-unicode-terminfo 9.22-10
rygel 0.38.4-1
sane 1.0.30-1
sbc 1.4-2
sc-im-git 0.7.0.r149.gb4ab511-1
scim 1.4.18-3
screenfetch 3.9.1-1
scrot 1.3-1
sdl 1.2.15-14
sdl2 2.0.12-2
sdl2_image 2.0.5-2
sdl2_mixer 2.0.4-4
sdl2_ttf 2.0.15-2
sdl_image 1.2.12-6
sdl_mixer 1.2.12-8
sdl_ttf 2.0.11-6
seabios 1.13.0-2
sed 4.8-1
serd 0.30.4-1
sfml 2.5.1-2
sg3_utils 1.45-1
shaderc 2020.0-1
shadow 4.8.1-1
shared-color-targets 0.1.7-3
shared-mime-info 2.0+1+g6bf9e4f-2
signond 8.60-3
simple-mtpfs 0.3.0-1
simple-scan 3.36.4-1
slang 2.3.2-2
smbclient 4.12.3-1
smpeg 0.4.5-5
snappy 1.1.8-1
solid 5.71.0-1
sonnet 5.71.0-1
sord 0.16.4-1
sound-theme-elementary 1.0-1
sound-theme-freedesktop 0.8-4
soundtouch 2.1.2-2
spandsp 0.0.6-3
speech-dispatcher 0.9.1-4
speex 1.2.0-3
speexdsp 1.2.0-2
spice 0.14.3-2
spice-gtk 0.38-1
spirv-tools 2020.2-1
sqlite 3.32.3-1
sratom 0.6.4-1
srt 1.4.1-2
sshfs 3.7.0-1
startup-notification 0.12-7
steam 1.0.0.63-1
steam-native-runtime 1.0.0.62-1
sudo 1.9.1-1
suitesparse 5.8.0-2
sushi 3.34.0+19+g331d9b7-1
switchboard 2.4.0-1
switchboard-plug-a11y 2.2.0-1
switchboard-plug-about 2.6.3-1
switchboard-plug-applications 2.1.7-1
switchboard-plug-bluetooth 2.3.2-1
switchboard-plug-datetime 2.1.9-1
switchboard-plug-display 2.2.2-1
switchboard-plug-keyboard 2.3.6-1
switchboard-plug-mouse-touchpad 2.4.2-1
switchboard-plug-network 2.3.1-1
switchboard-plug-notifications 2.1.7-1
switchboard-plug-online-accounts 2.0.1-2
switchboard-plug-parental-controls 3.0.1-1
switchboard-plug-power 2.4.2-1
switchboard-plug-printers 2.1.9-1
switchboard-plug-sharing 2.1.4-1
switchboard-plug-sound 2.2.4-1
switchboard-plug-user-accounts 2.3.1-1
synergy 1.10.3-1
syntax-highlighting 5.71.0-1
sysfsutils 2.1.0-11
systemd 245.6-8
systemd-libs 245.6-8
systemd-sysvcompat 245.6-8
t1lib 5.1.2-8
taglib 1.11.1-4
talloc 2.3.1-2
tamsyn-font 1.11-4
tar 1.32-3
tbb 2020.2-1
tcl 8.6.10-2
tdb 1.4.3-2
telepathy-glib 0.24.1-4
tepl 4.4.0-1
terminus-font 4.48-3
terminus-font-otb 4.48-3
tevent 1:0.10.2-1
tex-gyre-fonts 2.501-2
texinfo 6.7-3
texlive-bibtexextra 2020.55376-1
texlive-bin 2020.54586-4
texlive-core 2020.55416-1
texlive-fontsextra 2020.55407-1
texlive-formatsextra 2020.54498-1
texlive-games 2020.55271-1
texlive-humanities 2020.55389-1
texlive-langcyrillic 2020.54594-1
texlive-langextra 2020.55417-1
texlive-latexextra 2020.55418-1
texlive-most-doc 20200319-1
texlive-music 2020.54758-2
texlive-pictures 2020.55342-1
texlive-pstricks 2020.55289-1
texlive-publishers 2020.55415-1
texlive-science 2020.55390-1
thin-provisioning-tools 0.8.5-3
tiger 3.2.3-4
timezonemap 0.4.5.1-1
tinyxml 2.6.2-7
tk 8.6.10-2
totem 3.34.1-2
totem-pl-parser 3.26.5-1
tracker 2.3.4-2
tracker-miners 2.3.3-2
tripwire-git r373.4c84a88-1
tslib 1.22-1
ttf-all-the-icons 3.2.0-1
ttf-anonymous-pro 1.003-5
ttf-arphic-ukai 0.2.20080216.1-8
ttf-arphic-uming 0.2.20080216.1-8
ttf-baekmuk 2.2-12
ttf-bitstream-vera 1.10-14
ttf-caladea 20130214-3
ttf-carlito 20130920-5
ttf-cascadia-code 1910.04-2
ttf-cormorant 3.601-2
ttf-croscore 20190926-4
ttf-dejavu 2.37+18+g9b5d1b2f-2
ttf-droid 20121017-8
ttf-fantasque-sans-mono 1.8.0-2
ttf-fira-code 5.2-1
ttf-fira-mono 2:3.206-4
ttf-fira-sans 1:4.301-2
ttf-font-awesome 5.13.1-2
ttf-hack 3.003-3
ttf-hanazono 20170904-4
ttf-hannom 2005-6
ttf-ibm-plex 5.0.0-2
ttf-inconsolata 1:3.000-2
ttf-indic-otf 0.2-11
ttf-ionicons 5.0.0-1
ttf-jetbrains-mono 1.0.6-2
ttf-joypixels 6.0.0-1
ttf-junicode 1.002-3
ttf-khmer 5.0-7
ttf-lato 2.015-4
ttf-liberation 2.1.1-1
ttf-linux-libertine 5.3.0-5
ttf-linux-libertine-g 20120116-6
ttf-nerd-fonts-hack-complete-git 20200215-1
ttf-nerd-fonts-symbols 2.1.0+36+gd0bf73a1-2
ttf-opensans 1.101-2
ttf-press-start-2p 1.0-1
ttf-proggy-clean 1.1.5-2
ttf-roboto 2.138-4
ttf-roboto-mono 2.002-4
ttf-sazanami 20040629-11
ttf-tibetan-machine 1.901-11
ttf-ubuntu-font-family 0.83-6
twolame 0.4.0-2
tzdata 2020a-1
uchardet 0.0.7-1
udisks2 2.9.0-1
unclutter 1:1.5-2
unixodbc 2.3.7-3
unrar 1:5.9.4-1
unzip 6.0-14
upower 0.99.11-3
usbmuxd 1.1.1-1
usbredir 0.8.0-2
usbutils 012-2
util-linux 2.35.2-1
v4l-utils 1.20.0-1
vamp-plugin-sdk 2.10.0-1
vde2 2.3.2-14
vid.stab 1.1-3
vim 8.2.0814-3
vim-nerdtree 6.9.0-1
vim-runtime 8.2.0814-3
vim-tagbar 2.7-3
vino 3.22.0+72+g3fe1f12-1
virglrenderer 0.8.2-1
vlc 3.0.11-1
vmaf 1.5.2-1
volume_key 0.3.12-3
vte-common 0.60.3-1
vte3 0.60.3-1
vulkan-headers 1:1.2.146-1
vulkan-icd-loader 1.2.145-1
vulkan-intel 20.1.3-1
vulkan-mesa-layers 20.1.3-1
vulkan-tools 1.2.141.0-1
vulkan-validation-layers 1.2.145-1
wavpack 5.3.0-1
wayland 1.18.0-2
wayland-protocols 1.20-1
webkit2gtk 2.28.3-1
webrtc-audio-processing 0.3.1-2
wget 1.20.3-3
which 2.21-5
wildmidi 0.4.3-2
wine-staging 5.12-1
winetricks 20200412-1
wingpanel-git r580.4c359a3-1
wingpanel-indicator-bluetooth 2.1.5-1
wingpanel-indicator-datetime 2.2.5-1
wingpanel-indicator-keyboard 2.2.1-1
wingpanel-indicator-network 2.2.4-1
wingpanel-indicator-nightlight 2.0.3-1
wingpanel-indicator-notifications 2.1.4-1
wingpanel-indicator-power 2.1.5-1
wingpanel-indicator-session 2.2.8-1
wingpanel-indicator-sound 2.1.5-1
wireless-ids-git 26.7dfd2fc-2
wireless_tools 30.pre9-3
wireshark-cli 3.2.4-1
woff2-git 1.0.2.r4.ga0d0ed7-1
wpa_supplicant 2:2.9-7
wpebackend-fdo 1.6.1-1
wqy-bitmapfont 1.0.0RC1-4
wqy-microhei 0.2.0_beta-10
wqy-microhei-lite 0.2.0_beta-10
wqy-zenhei 0.9.45-8
wxgtk-common 3.0.5.1-1
wxgtk2 3.0.5.1-1
wxgtk3 3.0.5.1-1
x264 3:0.159.r2999.296494a-1
x265 3.4-1
x2x-git r132.ec10215-1
xapian-core 1:1.4.16-1
xapps 1.8.8-1
xbitmaps 1.1.2-2
xcb-proto 1.14-1
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xclip 0.13-3
xdg-dbus-proxy 0.1.2-2
xdg-desktop-portal 1.7.2-1
xdg-desktop-portal-gtk 1.7.1-1
xdg-user-dirs 0.17-3
xdg-user-dirs-gtk 0.10+9+g5b7efc6-3
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 0.30.0-1
xf86-input-synaptics 1.9.1-2
xf86-video-vesa 2.4.0-3
xfsprogs 5.6.0-2
xkeyboard-config 2.30-2
xmlrpc-c 1:1.51.06-1
xmlsec 1.2.30-2
xorg-bdftopcf 1.1-2
xorg-docs 1.7.1-3
xorg-font-util 1.3.2-2
xorg-font-utils 7.6-6
xorg-fonts-100dpi 1.0.3-7
xorg-fonts-75dpi 1.0.3-7
xorg-fonts-alias-100dpi 1.0.3-5
xorg-fonts-alias-75dpi 1.0.3-5
xorg-fonts-alias-cyrillic 1.0.3-5
xorg-fonts-alias-misc 1.0.3-5
xorg-fonts-cyrillic 1.0.3-6
xorg-fonts-encodings 1.0.5-2
xorg-fonts-misc 1.0.3-9
xorg-fonts-type1 7.7-6
xorg-iceauth 1.0.8-2
xorg-luit 1.1.1-4
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.8-2
xorg-server-common 1.20.8-2
xorg-server-devel 1.20.8-2
xorg-server-xephyr 1.20.8-2
xorg-server-xnest 1.20.8-2
xorg-server-xvfb 1.20.8-2
xorg-server-xwayland 1.20.8-2
xorg-sessreg 1.1.2-2
xorg-setxkbmap 1.3.2-2
xorg-smproxy 1.0.6-3
xorg-util-macros 1.19.2-2
xorg-x11perf 1.6.1-2
xorg-xauth 1.1-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.2-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.3-2
xorg-xgamma 1.0.6-3
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-2
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.3-1
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xmessage 1.0.5-2
xorg-xmodmap 1.0.10-2
xorg-xpr 1.0.5-2
xorg-xprop 1.2.4-2
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.0-2
xorg-xrefresh 1.0.6-2
xorg-xset 1.2.4-2
xorg-xsetroot 1.1.2-2
xorg-xvinfo 1.1.4-2
xorg-xwd 1.0.7-2
xorg-xwininfo 1.1.5-2
xorg-xwud 1.0.5-2
xorgproto 2020.1-1
xterm 357-1
xvidcore 1.3.7-2
xxhash 0.7.4-1
xz 5.2.5-1
yajl 2.1.0-3
yaml-cpp 0.6.3-2
yarn 1.22.4-1
yay 9.4.4-1
yelp 3.36.0-1
yelp-xsl 3.36.0-1
youtube-dl 2020.06.16.1-1
zathura 0.4.5-1
zathura-pdf-mupdf 0.3.5-3
zbar 0.23.1-2
zeitgeist 1.0.2-5
zenity 3.32.0+17+gfb0938f-2
zeromq 4.3.2-2
zip 3.0-9
zita-alsa-pcmi 0.3.2-3
zita-resampler 1.6.2-3
zlib 1:1.2.11-4
zstd 1.4.5-1
zvbi 0.2.35-4
zziplib 0.13.71-1
